Facultad,nombre_carrera,Malla,cod_ramo,Asignatura,año,semestre,horas_duracion,SCT,SOLOPROCESOS
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",CONTADOR AUDITOR,MRC26,MAT32001,MATEMÁTICAS I,1,1,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",CONTADOR AUDITOR,MRC26,ADM32001,ADMINISTRACIÓN I,1,1,54,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",CONTADOR AUDITOR,MRC26,ECO32001,ECONOMÍA,1,1,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",CONTADOR AUDITOR,MRC26,COS32001,COSTOS I,1,1,54,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",CONTADOR AUDITOR,MRC26,IDU32001,IDENTIDAD UNIVERSITARIA I,1,1,36,3,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",CONTADOR AUDITOR,MRC26,LEN32001,LENGUA EXTRAJERA I,1,1,54,4,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",CONTADOR AUDITOR,MRC26,MAT32002,MATEMÁTICAS II,1,2,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",CONTADOR AUDITOR,MRC26,CONT32002,CONTABILIDAD I,1,2,54,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",CONTADOR AUDITOR,MRC26,MIC32002,MICROECONOMÍA,1,2,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",CONTADOR AUDITOR,MRC26,COS32002,COSTOS II,1,2,54,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",CONTADOR AUDITOR,MRC26,IDU32002,IDENTIDAD UNIVERSITARIA II,1,2,36,3,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",CONTADOR AUDITOR,MRC26,LEN32002,LENGUA EXTRANJERA II,1,2,54,4,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",CONTADOR AUDITOR,MRC26,MAT32003,MATEMÁTICAS III,2,3,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",CONTADOR AUDITOR,MRC26,EST32003,ESTADÍSTICA I,2,3,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",CONTADOR AUDITOR,MRC26,CON32003,CONTABILIDAD II,2,3,54,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",CONTADOR AUDITOR,MRC26,DLC32003,DERECHO LABORAL Y COMERCIAL,2,3,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",CONTADOR AUDITOR,MRC26,FED32003,FORMACIÓN ÉTICA PARA EL DESARROLLO SOSTENIBLE,2,3,36,3,0
