nombre_carrera,Asignatura,semestre,cod_ramo,Asignatura_catalogo
ENFERMERÍA,Gestión del Cuidado en Enfermería II (teoristas),,GCE21402,GESTIÓN DEL CUIDADO EN ENFERMERÍA II
ENFERMERÍA,Gestión del Cuidado en Enfermería III ( Ciclo Vital),,GCE21403,GESTIÓN DEL CUIDADO EN ENFERMERÍA III
ENFERMERÍA,"Integrado Fisiología, Fisiopatología y Farmacología en Enfermería I",,IFF21403,"INTEGRADO EN FISIOLOGÍA, FISIOPATOLOGÍA Y FARMACOLOGÍA EN ENFERMERÍA I"
ENFERMERÍA,"Integrado Fisiología, Fisiopatología y Farmacología en Enfermería II",,IFF21404,"INTEGRADO DE FISIOLOGÍA, FISIOPATOLOGÍA Y FARMACOLOGÍA EN ENFERMERÍA II"
ENFERMERÍA,Metodología de la Investigación EBE,,MIN21406,METODOLOGÍA DE LA INVESTIGACIÓN
ENFERMERÍA,Electivo Formación General I,,EFG21403,ELECTIVO DE FORMACIÓN GENERAL I
ENFERMERÍA,Electivo Formación General II,,EFG21406,ELECTIVO DE FORMACIÓN GENERAL II
ENFERMERÍA,Cuidados de Enfermería en el Adulto Crítico,,CEA21409,CUIDADOS EN ENFERMERÍA EN ADULTO CRÍTICO
ENFERMERÍA,Gestión del Cuidado en Comunidades III,,GCC21407,GESTIÓN DEL CUIDADOS EN COMUNIDADES III
ENFERMERÍA,Seminario de investigación en Enfermería II,,SIE21408,SEMINARIO EN INVESTIGACIÓN EN ENFERMERÍA II
ENFERMERÍA,Práctica Profesional en Enfermería APS,9,PEA21409,PRÁCTICA PROFESIONAL EN ENFERMERÍA EN ATENCIÓN PRIMARIA DE SALUD (B)
ENFERMERÍA,Práctica Profesional en Enfermería APS,10,PPA21410,PRÁCTICA PROFESIONAL EN ENFERMERÍA EN ATENCIÓN PRIMARIA DE SALUD (A)
ENFERMERÍA,Práctica Profesional en Enfermería Hospitalaria,9,PEH21409,PRÁCTICA PROFESIONAL EN ENFERMERÍA HOSPITALARIA (A)
ENFERMERÍA,Práctica Profesional en Enfermería Hospitalaria,10,PPH21410,PRÁCTICA PROFESIONAL EN ENFERMERÍA HOSPITALARIA (B)
MEDICINA VETERINARIA,Electivo de Formación General,4,EFG35304,ELECTIVO DE FORMACIÓN GENERAL I
MEDICINA VETERINARIA,Electivo de formación General,7,EFG35307,ELECTIVO DE FORMACIÓN GENERAL II
MEDICINA VETERINARIA,Electivo de Profundización,10,OPP35310,OPTATIVO DE PROFUNDIZACIÓN
MEDICINA VETERINARIA,Gestión y Administración Veterinaria,9,GAD35309,GESTIÓN Y ADMINISTRACIÓN
MEDICINA VETERINARIA,Imagenología Diagnóstica.,7,IDG35307,IMAGENOLOGÍA DIAGNÓSTICA
MEDICINA VETERINARIA,Inspección y Control de Calidad Veterinaria de los Alimentos,7,ICV35307,INSPECCIÓN Y CONTROL DE CALIDAD VETERINARIA EN ALIMENTOS
MEDICINA VETERINARIA,Internado Producción Animal,10,IPA35310,INTERNADO PRODUCIÓN ANIMAL
MEDICINA VETERINARIA,Medicina Interna  de Animales Mayores,8,MAM35308,MEDICINA INTERNA ANIMALES MAYORES
MEDICINA VETERINARIA,Medicina Interna de Animales de Compañía,8,MAC35308,MEDICINA INTERNA ANIMALES DE COMPAÑÍA
OBSTETRICIA Y PUERICULTURA,Antropología y Ciencias psicosociales de la SS y RR,2,ACS27102,ANTROPOLOGÍA Y CIENCIAS PSICOSOCIALES DE LA SALUD SEXUAL Y REPRODUCTIVA
OBSTETRICIA Y PUERICULTURA,Certificación I en Atencion Primaria y Modelo de Salud Familiar/Competencias en Cuidados Neonatales,9,APM27109,ATENCIÓN PRIMARIA Y MODELO DE SALUD FAMILIAR I
OBSTETRICIA Y PUERICULTURA,Certificación II en Atencion Primaria y Modelo de Salud Familiar/Competencias en Cuidados Neonatales,10,APM27110,ATENCIÓN PRIMARIA Y MODELO DE SALUD FAMILIAR II
OBSTETRICIA Y PUERICULTURA,"Climaterio, Andrología, Piso Pélvico y Oncología",6,CPO27106,"CLIMATERIO, PISO PÉLVICO Y ONCOLOGÍA"
OBSTETRICIA Y PUERICULTURA,Farmacología clínica fundamental,4,FCF27104,FARMACOLOGÍA CLÍNICA Y FUNDAMENTAL
OBSTETRICIA Y PUERICULTURA,Formación Universitaria para el Desarrollo Sostenible,3,FED27103,FORMACIÓN ÉTICA PARA EL DESARROLLO SOSTENIBLE
OBSTETRICIA Y PUERICULTURA,Integrado en Ginecoobstetricia,7,IGI27107,INTEGRADO EN GINEOBSTETRICIA
OBSTETRICIA Y PUERICULTURA,Lengua Exranjera II,2,LEN27102,LENGUA EXTRANJERA II
OBSTETRICIA Y PUERICULTURA,Lengua Exranjera III,3,LEN27103,LENGUA EXTRANJERA III
OBSTETRICIA Y PUERICULTURA,Matemáticas y Fundamentos de Bioestadísticas,6,MFB27106,MATEMÁTICA Y FUNDAMENTOS DE BIOESTADÍSTICA
OBSTETRICIA Y PUERICULTURA,Medicina Reproductiva,8,MRP27108,MEDICINA REPRODUCCIÓN
OBSTETRICIA Y PUERICULTURA,Tecnologías y Emprendimiento Aplicados a la Matronería,8,TEA27108,TECNOLOGÍA Y EMPRENDIMIENTO APLICADOS A LA MATRONERÍA
QUÍMICA Y FARMACIA,Economía Contabilidad y Costos,5,ECC24805,"ECONOMÍA , CONTABILIDAD Y COSTOS"
QUÍMICA Y FARMACIA,Optativo de Especialización 1,10,01E24810,OPTATIVO DE ESPECIALIZACIÓN I
QUÍMICA Y FARMACIA,Optativo de Especialización 2,10,02E24810,OPTATIVO DE ESPECIALIZACIÓN II
QUÍMICA Y FARMACIA,Práctica Farmacéutica 1,9,P1F24809,PRÁCTICA FARMACÉUTICA I
QUÍMICA Y FARMACIA,Práctica Farmacéutica 2,9,P2F24809,PRÁCTICA FARMACÉUTICA II
QUÍMICA Y FARMACIA,Salud Publica y Epidemiología,6,SPE24806,SALUD PÚBLICA Y EPIDMIOLOGÍA
CONTADOR AUDITOR,"Innovación,Tecnología y Analítica de Datos.",7,ITA32007,"INNOVACIÓN, TECNOLOGÍA Y ANALÍTICA DE DATOS"
CONTADOR AUDITOR,Lengua Extranjera I,1,LEN32001,LENGUA EXTRAJERA I
CONTADOR AUDITOR,Metodologías de Investigación,7,MIN32007,METODOLOGÍA DE INVESTIGACIÓN
CONTADOR AUDITOR,Taller de IFRS,8,TIF32009,TALLER IFRS
